Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,500,500,400,183,400,100,True,,,,,
BF,Yes,500,500,400,183,400,100,True,400,183,96,400,183
PH,No,500,500,400,183,400,100,True,,,,,
PH,Yes,500,500,400,183,400,100,True,400,183,96,400,183
BF,No,500,500,29,421,400,471,True,,,,,
BF,Yes,500,500,29,421,400,32,True,29,421,30,29,421
PH,No,500,500,29,421,400,35,True,,,,,
PH,Yes,500,500,29,421,400,32,True,29,421,30,29,421
BF,No,500,500,342,55,400,343,True,,,,,
BF,Yes,500,500,342,55,400,162,True,342,55,159,342,55
PH,No,500,500,342,55,400,170,True,,,,,
PH,Yes,500,500,342,55,400,162,True,342,55,159,342,55
BF,No,500,500,286,232,400,287,True,,,,,
BF,Yes,500,500,286,232,400,216,True,287,232,213,287,232
PH,No,500,500,286,232,400,219,True,,,,,
PH,Yes,500,500,286,232,400,216,True,287,232,213,287,232
BF,No,500,500,0,195,400,1,True,,,,,
BF,Yes,500,500,0,195,400,1,True,,,,,
PH,No,500,500,0,195,400,1,True,,,,,
PH,Yes,500,500,0,195,400,1,True,,,,,
BF,No,500,500,216,346,400,284,True,,,,,
BF,Yes,500,500,216,346,400,219,True,215,346,216,215,346
PH,No,500,500,216,346,400,222,True,,,,,
PH,Yes,500,500,216,346,400,219,True,215,346,216,215,346
BF,No,500,500,300,156,400,200,True,,,,,
BF,Yes,500,500,300,156,400,200,True,298,156,198,298,156
PH,No,500,500,300,156,400,200,True,,,,,
PH,Yes,500,500,300,156,400,200,True,298,156,198,298,156
BF,No,500,500,332,190,400,333,True,,,,,
BF,Yes,500,500,332,190,400,170,True,332,190,168,332,190
PH,No,500,500,332,190,400,180,True,,,,,
PH,Yes,500,500,332,190,400,170,True,332,190,168,332,190
BF,No,500,500,6,470,400,7,True,,,,,
BF,Yes,500,500,6,470,400,7,True,6,470,6,6,470
PH,No,500,500,6,470,400,7,True,,,,,
PH,Yes,500,500,6,470,400,7,True,6,470,6,6,470
BF,No,500,500,174,383,400,326,True,,,,,
BF,Yes,500,500,174,383,400,177,True,173,383,174,173,383
PH,No,500,500,174,383,400,180,True,,,,,
PH,Yes,500,500,174,383,400,177,True,173,383,174,173,383
BF,No,500,500,135,101,400,365,True,,,,,
BF,Yes,500,500,135,101,400,138,True,134,101,135,134,101
PH,No,500,500,135,101,400,141,True,,,,,
PH,Yes,500,500,135,101,400,138,True,134,101,135,134,101
BF,No,500,500,105,418,400,395,True,,,,,
BF,Yes,500,500,105,418,400,108,True,104,418,105,104,418
PH,No,500,500,105,418,400,111,True,,,,,
PH,Yes,500,500,105,418,400,108,True,104,418,105,104,418
BF,No,500,500,128,157,400,129,True,,,,,
BF,Yes,500,500,128,157,400,129,True,129,157,126,129,157
PH,No,500,500,128,157,400,129,True,,,,,
PH,Yes,500,500,128,157,400,129,True,129,157,126,129,157
BF,No,500,500,167,264,400,668,True,,,,,
BF,Yes,500,500,167,264,400,170,True,167,264,168,167,264
PH,No,500,500,167,264,400,180,True,,,,,
PH,Yes,500,500,167,264,400,170,True,167,264,168,167,264
BF,No,500,500,340,96,400,160,True,,,,,
BF,Yes,500,500,340,96,400,160,True,340,96,156,340,96
PH,No,500,500,340,96,400,160,True,,,,,
PH,Yes,500,500,340,96,400,160,True,340,96,156,340,96
BF,No,500,500,114,435,400,115,True,,,,,
BF,Yes,500,500,114,435,400,115,True,114,435,111,114,435
PH,No,500,500,114,435,400,115,True,,,,,
PH,Yes,500,500,114,435,400,115,True,114,435,111,114,435
BF,No,500,500,277,360,400,278,True,,,,,
BF,Yes,500,500,277,360,400,225,True,278,360,222,278,360
PH,No,500,500,277,360,400,235,True,,,,,
PH,Yes,500,500,277,360,400,225,True,278,360,222,278,360
BF,No,500,500,372,150,400,373,True,,,,,
BF,Yes,500,500,372,150,400,132,True,372,150,129,372,150
PH,No,500,500,372,150,400,140,True,,,,,
PH,Yes,500,500,372,150,400,132,True,372,150,129,372,150
BF,No,500,500,214,404,400,715,True,,,,,
BF,Yes,500,500,214,404,400,219,True,214,404,216,214,404
PH,No,500,500,214,404,400,227,True,,,,,
PH,Yes,500,500,214,404,400,219,True,214,404,216,214,404
BF,No,500,500,248,442,400,249,True,,,,,
BF,Yes,500,500,248,442,400,249,True,246,442,246,246,442
PH,No,500,500,248,442,400,249,True,,,,,
PH,Yes,500,500,248,442,400,249,True,246,442,246,246,442
BF,No,500,500,402,419,400,903,True,,,,,
BF,Yes,500,500,402,419,400,102,True,402,419,99,402,419
PH,No,500,500,402,419,400,103,True,,,,,
PH,Yes,500,500,402,419,400,102,True,402,419,99,402,419
BF,No,500,500,67,213,400,433,True,,,,,
BF,Yes,500,500,67,213,400,72,True,67,213,69,67,213
PH,No,500,500,67,213,400,73,True,,,,,
PH,Yes,500,500,67,213,400,72,True,67,213,69,67,213
BF,No,500,500,92,254,400,593,True,,,,,
BF,Yes,500,500,92,254,400,95,True,92,254,93,92,254
PH,No,500,500,92,254,400,105,True,,,,,
PH,Yes,500,500,92,254,400,95,True,92,254,93,92,254
BF,No,500,500,290,323,400,210,True,,,,,
BF,Yes,500,500,290,323,400,210,True,289,323,207,289,323
PH,No,500,500,290,323,400,210,True,,,,,
PH,Yes,500,500,290,323,400,210,True,289,323,207,289,323
BF,No,500,500,253,310,400,254,True,,,,,
BF,Yes,500,500,253,310,400,249,True,254,310,246,254,310
PH,No,500,500,253,310,400,254,True,,,,,
PH,Yes,500,500,253,310,400,249,True,254,310,246,254,310
BF,No,500,500,430,250,400,431,True,,,,,
BF,Yes,500,500,430,250,400,72,True,431,250,69,431,250
PH,No,500,500,430,250,400,82,True,,,,,
PH,Yes,500,500,430,250,400,72,True,431,250,69,431,250
BF,No,500,500,465,49,400,966,True,,,,,
BF,Yes,500,500,465,49,400,39,True,465,49,36,465,49
PH,No,500,500,465,49,400,40,True,,,,,
PH,Yes,500,500,465,49,400,39,True,465,49,36,465,49
BF,No,500,500,28,365,400,29,True,,,,,
BF,Yes,500,500,28,365,400,29,True,30,365,27,30,365
PH,No,500,500,28,365,400,29,True,,,,,
PH,Yes,500,500,28,365,400,29,True,30,365,27,30,365
BF,No,500,500,381,420,400,382,True,,,,,
