Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,567,222,900,183,True,,,,,
BF,Yes,750,750,567,222,900,183,True,566,222,180,566,222
PH,No,750,750,567,222,900,183,True,,,,,
PH,Yes,750,750,567,222,900,183,True,566,222,180,566,222
BF,No,750,750,537,193,900,538,True,,,,,
BF,Yes,750,750,537,193,900,215,True,537,193,213,537,193
PH,No,750,750,537,193,900,218,True,,,,,
PH,Yes,750,750,537,193,900,215,True,537,193,213,537,193
BF,No,750,750,228,502,900,522,True,,,,,
BF,Yes,750,750,228,502,900,231,True,227,502,228,227,502
PH,No,750,750,228,502,900,234,True,,,,,
PH,Yes,750,750,228,502,900,231,True,227,502,228,227,502
BF,No,750,750,422,400,900,328,True,,,,,
BF,Yes,750,750,422,400,900,328,True,422,400,324,422,400
PH,No,750,750,422,400,900,328,True,,,,,
PH,Yes,750,750,422,400,900,328,True,422,400,324,422,400
BF,No,750,750,302,553,900,303,True,,,,,
BF,Yes,750,750,302,553,900,303,True,303,553,300,303,553
PH,No,750,750,302,553,900,303,True,,,,,
PH,Yes,750,750,302,553,900,303,True,303,553,300,303,553
BF,No,750,750,188,186,900,189,True,,,,,
BF,Yes,750,750,188,186,900,189,True,189,186,186,189,186
PH,No,750,750,188,186,900,189,True,,,,,
PH,Yes,750,750,188,186,900,189,True,189,186,186,189,186
BF,No,750,750,496,720,900,254,True,,,,,
BF,Yes,750,750,496,720,900,254,True,497,720,249,497,720
PH,No,750,750,496,720,900,254,True,,,,,
PH,Yes,750,750,496,720,900,254,True,497,720,249,497,720
BF,No,750,750,539,627,900,211,True,,,,,
BF,Yes,750,750,539,627,900,211,True,539,627,207,539,627
PH,No,750,750,539,627,900,211,True,,,,,
PH,Yes,750,750,539,627,900,211,True,539,627,207,539,627
BF,No,750,750,620,1,900,621,True,,,,,
