Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,75,75,48,23,9,552,True,,,,,
BF,Yes,75,75,48,23,9,405,True,48,23,402,48,23
PH,No,75,75,48,23,9,55,True,,,,,
PH,Yes,75,75,48,23,9,45,True,49,23,42,49,23
BF,No,75,75,5,56,9,456,True,,,,,
BF,Yes,75,75,5,56,9,309,True,5,56,306,5,56
PH,No,75,75,5,56,9,64,True,,,,,
PH,Yes,75,75,5,56,9,39,True,4,56,36,4,56
BF,No,75,75,34,17,9,116,True,,,,,
BF,Yes,75,75,34,17,9,39,True,34,17,36,34,17
PH,No,75,75,34,17,9,40,True,,,,,
PH,Yes,75,75,34,17,9,39,True,34,17,36,34,17
BF,No,75,75,32,72,9,483,True,,,,,
BF,Yes,75,75,32,72,9,338,True,32,72,336,32,72
PH,No,75,75,32,72,9,93,True,,,,,
PH,Yes,75,75,32,72,9,525,True,32,72,81,32,72
BF,No,75,75,53,67,9,97,True,,,,,
BF,Yes,75,75,53,67,9,97,True,,,,,
PH,No,75,75,53,67,9,59,True,,,,,
PH,Yes,75,75,53,67,9,73,True,55,65,63,55,65
BF,No,75,75,59,62,9,316,True,,,,,
BF,Yes,75,75,59,62,9,316,True,62,57,294,62,57
PH,No,75,75,59,62,9,48,True,,,,,
PH,Yes,75,75,59,62,9,43,True,59,62,39,59,62
BF,No,75,75,51,5,9,399,True,,,,,
BF,Yes,75,75,51,5,9,254,True,51,5,252,51,5
PH,No,75,75,51,5,9,72,True,,,,,
PH,Yes,75,75,51,5,9,41,True,48,5,39,48,5
BF,No,75,75,66,64,9,459,True,,,,,
BF,Yes,75,75,66,64,9,312,True,66,64,309,66,64
PH,No,75,75,66,64,9,69,True,,,,,
PH,Yes,75,75,66,64,9,49,True,66,65,48,66,65
BF,No,75,75,48,19,9,252,True,,,,,
BF,Yes,75,75,48,19,9,205,True,48,19,201,48,19
PH,No,75,75,48,19,9,70,True,,,,,
PH,Yes,75,75,48,19,9,70,True,48,19,60,48,19
BF,No,75,75,35,74,9,636,True,,,,,
BF,Yes,75,75,35,74,9,579,True,37,72,498,37,72
PH,No,75,75,35,74,9,132,True,,,,,
PH,Yes,75,75,35,74,9,132,True,32,73,129,32,73
BF,No,75,75,60,51,9,90,True,,,,,
BF,Yes,75,75,60,51,9,75,True,60,51,69,60,51
PH,No,75,75,60,51,9,66,True,,,,,
PH,Yes,75,75,60,51,9,66,True,60,53,60,60,53
BF,No,75,75,6,12,9,369,True,,,,,
BF,Yes,75,75,6,12,9,238,True,6,12,234,6,12
PH,No,75,75,6,12,9,79,True,,,,,
PH,Yes,75,75,6,12,9,36,True,6,12,33,6,12
BF,No,75,75,17,3,9,283,True,,,,,
BF,Yes,75,75,17,3,9,145,True,17,3,141,17,3
PH,No,75,75,17,3,9,39,True,,,,,
PH,Yes,75,75,17,3,9,34,True,18,5,33,18,5
BF,No,75,75,35,3,9,265,True,,,,,
BF,Yes,75,75,35,3,9,127,True,35,3,123,35,3
PH,No,75,75,35,3,9,57,True,,,,,
PH,Yes,75,75,35,3,9,57,True,35,3,54,35,3
BF,No,75,75,27,23,9,573,True,,,,,
BF,Yes,75,75,27,23,9,426,True,27,23,423,27,23
PH,No,75,75,27,23,9,76,True,,,,,
PH,Yes,75,75,27,23,9,96,True,27,23,93,27,23
BF,No,75,75,22,62,9,353,True,,,,,
BF,Yes,75,75,22,62,9,353,True,22,64,99,22,64
PH,No,75,75,22,62,9,85,True,,,,,
PH,Yes,75,75,22,62,9,71,True,22,62,69,22,62
BF,No,75,75,30,26,9,106,True,,,,,
BF,Yes,75,75,30,26,9,53,True,30,26,48,30,26
PH,No,75,75,30,26,9,50,True,,,,,
PH,Yes,75,75,30,26,9,53,True,30,26,48,30,26
BF,No,75,75,3,62,9,372,True,,,,,
BF,Yes,75,75,3,62,9,235,True,3,62,231,3,62
PH,No,75,75,3,62,9,100,True,,,,,
PH,Yes,75,75,3,62,9,99,True,3,62,96,3,62
BF,No,75,75,4,25,9,71,True,,,,,
BF,Yes,75,75,4,25,9,71,True,5,25,69,5,25
PH,No,75,75,4,25,9,71,True,,,,,
PH,Yes,75,75,4,25,9,71,True,3,22,66,3,22
BF,No,75,75,73,48,9,599,True,,,,,
BF,Yes,75,75,73,48,9,452,True,73,48,450,73,48
PH,No,75,75,73,48,9,55,True,,,,,
PH,Yes,75,75,73,48,9,38,True,74,48,36,74,48
BF,No,75,75,69,31,9,456,True,,,,,
BF,Yes,75,75,69,31,9,309,True,69,31,306,69,31
PH,No,75,75,69,31,9,64,True,,,,,
PH,Yes,75,75,69,31,9,39,True,70,31,36,70,31
BF,No,75,75,20,67,9,130,True,,,,,
