Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,50,50,4,45,4,446,True,,,,,
BF,Yes,50,50,4,45,4,256,True,3,44,249,3,44
PH,No,50,50,4,45,4,124,True,,,,,
PH,Yes,50,50,4,45,4,118,True,3,43,114,3,43
BF,No,50,50,38,25,4,39,True,,,,,
BF,Yes,50,50,38,25,4,39,True,,,,,
PH,No,50,50,38,25,4,39,True,,,,,
PH,Yes,50,50,38,25,4,39,True,,,,,
BF,No,50,50,26,34,4,474,True,,,,,
BF,Yes,50,50,26,34,4,378,True,26,34,375,26,34
PH,No,50,50,26,34,4,72,True,,,,,
PH,Yes,50,50,26,34,4,137,True,26,34,135,26,34
BF,No,50,50,12,14,4,138,True,,,,,
BF,Yes,50,50,12,14,4,169,True,12,14,165,12,14
PH,No,50,50,12,14,4,50,True,,,,,
PH,Yes,50,50,12,14,4,55,True,12,14,51,12,14
BF,No,50,50,44,28,4,156,True,,,,,
BF,Yes,50,50,44,28,4,358,True,44,28,354,44,28
PH,No,50,50,44,28,4,66,True,,,,,
PH,Yes,50,50,44,28,4,114,True,44,28,111,44,28
BF,No,50,50,42,8,4,443,True,,,,,
BF,Yes,50,50,42,8,4,443,True,42,10,156,42,10
PH,No,50,50,42,8,4,80,True,,,,,
PH,Yes,50,50,42,8,4,39,True,42,8,36,42,8
BF,No,50,50,31,19,4,382,True,,,,,
BF,Yes,50,50,31,19,4,382,True,,,,,
PH,No,50,50,31,19,4,96,True,,,,,
PH,Yes,50,50,31,19,4,96,True,,,,,
BF,No,50,50,49,7,4,351,True,,,,,
BF,Yes,50,50,49,7,4,351,True,49,9,252,49,9
PH,No,50,50,49,7,4,87,True,,,,,
PH,Yes,50,50,49,7,4,87,True,49,9,78,49,9
BF,No,50,50,13,1,4,87,True,,,,,
BF,Yes,50,50,13,1,4,87,True,13,1,78,13,1
PH,No,50,50,13,1,4,19,True,,,,,
PH,Yes,50,50,13,1,4,19,True,,,,,
BF,No,50,50,44,9,4,456,True,,,,,
BF,Yes,50,50,44,9,4,456,True,44,9,345,44,9
PH,No,50,50,44,9,4,54,True,,,,,
PH,Yes,50,50,44,9,4,35,True,44,9,30,44,9
BF,No,50,50,43,16,4,207,True,,,,,
BF,Yes,50,50,43,16,4,207,True,46,11,111,46,11
PH,No,50,50,43,16,4,39,True,,,,,
PH,Yes,50,50,43,16,4,34,True,43,16,30,43,16
BF,No,50,50,16,24,4,634,True,,,,,
BF,Yes,50,50,16,24,4,84,True,16,24,75,16,24
PH,No,50,50,16,24,4,29,True,,,,,
PH,Yes,50,50,16,24,4,39,True,16,24,33,16,24
BF,No,50,50,36,6,4,337,True,,,,,
