Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,1000,1000,494,395,1600,495,True,,,,,
BF,Yes,1000,1000,494,395,1600,495,True,495,395,492,495,395
PH,No,1000,1000,494,395,1600,495,True,,,,,
PH,Yes,1000,1000,494,395,1600,495,True,495,395,492,495,395
BF,No,1000,1000,163,206,1600,164,True,,,,,
BF,Yes,1000,1000,163,206,1600,164,True,162,206,159,162,206
PH,No,1000,1000,163,206,1600,164,True,,,,,
PH,Yes,1000,1000,163,206,1600,164,True,162,206,159,162,206
BF,No,1000,1000,58,358,1600,59,True,,,,,
BF,Yes,1000,1000,58,358,1600,59,True,57,358,54,57,358
PH,No,1000,1000,58,358,1600,59,True,,,,,
PH,Yes,1000,1000,58,358,1600,59,True,57,358,54,57,358
BF,No,1000,1000,898,573,1600,102,True,,,,,
BF,Yes,1000,1000,898,573,1600,102,True,897,573,99,897,573
PH,No,1000,1000,898,573,1600,102,True,,,,,
PH,Yes,1000,1000,898,573,1600,102,True,897,573,99,897,573
BF,No,1000,1000,91,881,1600,92,True,,,,,
BF,Yes,1000,1000,91,881,1600,92,True,90,881,87,90,881
PH,No,1000,1000,91,881,1600,92,True,,,,,
PH,Yes,1000,1000,91,881,1600,92,True,90,881,87,90,881
BF,No,1000,1000,551,498,1600,449,True,,,,,
BF,Yes,1000,1000,551,498,1600,449,True,552,498,444,552,498
PH,No,1000,1000,551,498,1600,449,True,,,,,
PH,Yes,1000,1000,551,498,1600,449,True,552,498,444,552,498
BF,No,1000,1000,823,800,1600,177,True,,,,,
BF,Yes,1000,1000,823,800,1600,177,True,824,800,174,824,800
PH,No,1000,1000,823,800,1600,177,True,,,,,
PH,Yes,1000,1000,823,800,1600,177,True,824,800,174,824,800
BF,No,1000,1000,772,267,1600,773,True,,,,,
BF,Yes,1000,1000,772,267,1600,230,True,772,267,228,772,267
PH,No,1000,1000,772,267,1600,233,True,,,,,
PH,Yes,1000,1000,772,267,1600,230,True,772,267,228,772,267
BF,No,1000,1000,460,585,1600,461,True,,,,,
BF,Yes,1000,1000,460,585,1600,461,True,459,585,456,459,585
PH,No,1000,1000,460,585,1600,461,True,,,,,
PH,Yes,1000,1000,460,585,1600,461,True,459,585,456,459,585
BF,No,1000,1000,240,680,1600,241,True,,,,,
BF,Yes,1000,1000,240,680,1600,241,True,240,680,237,240,680
PH,No,1000,1000,240,680,1600,241,True,,,,,
PH,Yes,1000,1000,240,680,1600,241,True,240,680,237,240,680
BF,No,1000,1000,403,560,1600,404,True,,,,,
BF,Yes,1000,1000,403,560,1600,404,True,402,560,399,402,560
PH,No,1000,1000,403,560,1600,404,True,,,,,
PH,Yes,1000,1000,403,560,1600,404,True,402,560,399,402,560
BF,No,1000,1000,504,312,1600,505,True,,,,,
BF,Yes,1000,1000,504,312,1600,498,True,505,312,495,505,312
PH,No,1000,1000,504,312,1600,501,True,,,,,
PH,Yes,1000,1000,504,312,1600,498,True,505,312,495,505,312
BF,No,1000,1000,43,646,1600,44,True,,,,,
BF,Yes,1000,1000,43,646,1600,44,True,42,646,39,42,646
PH,No,1000,1000,43,646,1600,44,True,,,,,
PH,Yes,1000,1000,43,646,1600,44,True,42,646,39,42,646
BF,No,1000,1000,463,618,1600,464,True,,,,,
BF,Yes,1000,1000,463,618,1600,464,True,462,618,459,462,618
PH,No,1000,1000,463,618,1600,464,True,,,,,
PH,Yes,1000,1000,463,618,1600,464,True,462,618,459,462,618
BF,No,1000,1000,925,295,1600,75,True,,,,,
BF,Yes,1000,1000,925,295,1600,75,True,926,295,72,926,295
PH,No,1000,1000,925,295,1600,75,True,,,,,
PH,Yes,1000,1000,925,295,1600,75,True,926,295,72,926,295
BF,No,1000,1000,113,401,1600,114,True,,,,,
BF,Yes,1000,1000,113,401,1600,114,True,112,401,111,112,401
PH,No,1000,1000,113,401,1600,114,True,,,,,
PH,Yes,1000,1000,113,401,1600,114,True,112,401,111,112,401
BF,No,1000,1000,538,128,1600,462,True,,,,,
BF,Yes,1000,1000,538,128,1600,462,True,537,128,459,537,128
PH,No,1000,1000,538,128,1600,462,True,,,,,
PH,Yes,1000,1000,538,128,1600,462,True,537,128,459,537,128
BF,No,1000,1000,956,786,1600,44,True,,,,,
BF,Yes,1000,1000,956,786,1600,44,True,957,786,39,957,786
PH,No,1000,1000,956,786,1600,44,True,,,,,
PH,Yes,1000,1000,956,786,1600,44,True,957,786,39,957,786
BF,No,1000,1000,713,177,1600,714,True,,,,,
BF,Yes,1000,1000,713,177,1600,291,True,713,177,288,713,177
PH,No,1000,1000,713,177,1600,292,True,,,,,
PH,Yes,1000,1000,713,177,1600,291,True,713,177,288,713,177
BF,No,1000,1000,91,155,1600,92,True,,,,,
BF,Yes,1000,1000,91,155,1600,92,True,90,155,87,90,155
PH,No,1000,1000,91,155,1600,92,True,,,,,
PH,Yes,1000,1000,91,155,1600,92,True,90,155,87,90,155
BF,No,1000,1000,73,477,1600,74,True,,,,,
BF,Yes,1000,1000,73,477,1600,74,True,72,477,69,72,477
PH,No,1000,1000,73,477,1600,74,True,,,,,
PH,Yes,1000,1000,73,477,1600,74,True,72,477,69,72,477
BF,No,1000,1000,501,202,1600,502,True,,,,,
BF,Yes,1000,1000,501,202,1600,501,True,502,202,498,502,202
PH,No,1000,1000,501,202,1600,502,True,,,,,
PH,Yes,1000,1000,501,202,1600,501,True,502,202,498,502,202
BF,No,1000,1000,465,265,1600,466,True,,,,,
BF,Yes,1000,1000,465,265,1600,466,True,465,265,462,465,265
PH,No,1000,1000,465,265,1600,466,True,,,,,
PH,Yes,1000,1000,465,265,1600,466,True,465,265,462,465,265
BF,No,1000,1000,404,536,1600,405,True,,,,,
BF,Yes,1000,1000,404,536,1600,405,True,403,536,402,403,536
PH,No,1000,1000,404,536,1600,405,True,,,,,
PH,Yes,1000,1000,404,536,1600,405,True,403,536,402,403,536
BF,No,1000,1000,793,2,1600,794,True,,,,,
BF,Yes,1000,1000,793,2,1600,207,True,792,2,204,792,2
PH,No,1000,1000,793,2,1600,212,True,,,,,
PH,Yes,1000,1000,793,2,1600,207,True,792,2,204,792,2
BF,No,1000,1000,861,310,1600,139,True,,,,,
BF,Yes,1000,1000,861,310,1600,139,True,861,310,135,861,310
PH,No,1000,1000,861,310,1600,139,True,,,,,
PH,Yes,1000,1000,861,310,1600,139,True,861,310,135,861,310
BF,No,1000,1000,194,728,1600,195,True,,,,,
BF,Yes,1000,1000,194,728,1600,195,True,195,728,192,195,728
PH,No,1000,1000,194,728,1600,195,True,,,,,
PH,Yes,1000,1000,194,728,1600,195,True,195,728,192,195,728
BF,No,1000,1000,616,981,1600,384,True,,,,,
BF,Yes,1000,1000,616,981,1600,384,True,615,981,381,615,981
PH,No,1000,1000,616,981,1600,384,True,,,,,
PH,Yes,1000,1000,616,981,1600,384,True,615,981,381,615,981
BF,No,1000,1000,138,827,1600,139,True,,,,,
BF,Yes,1000,1000,138,827,1600,139,True,138,827,135,138,827
PH,No,1000,1000,138,827,1600,139,True,,,,,
PH,Yes,1000,1000,138,827,1600,139,True,138,827,135,138,827
BF,No,1000,1000,128,282,1600,129,True,,,,,
BF,Yes,1000,1000,128,282,1600,129,True,127,282,126,127,282
PH,No,1000,1000,128,282,1600,129,True,,,,,
PH,Yes,1000,1000,128,282,1600,129,True,127,282,126,127,282
BF,No,1000,1000,59,435,1600,60,True,,,,,
BF,Yes,1000,1000,59,435,1600,60,True,60,435,57,60,435
PH,No,1000,1000,59,435,1600,60,True,,,,,
PH,Yes,1000,1000,59,435,1600,60,True,60,435,57,60,435
BF,No,1000,1000,326,846,1600,327,True,,,,,
BF,Yes,1000,1000,326,846,1600,327,True,325,846,324,325,846
PH,No,1000,1000,326,846,1600,327,True,,,,,
PH,Yes,1000,1000,326,846,1600,327,True,325,846,324,325,846
BF,No,1000,1000,371,302,1600,372,True,,,,,
BF,Yes,1000,1000,371,302,1600,372,True,370,302,369,370,302
PH,No,1000,1000,371,302,1600,372,True,,,,,
PH,Yes,1000,1000,371,302,1600,372,True,370,302,369,370,302
BF,No,1000,1000,481,898,1600,482,True,,,,,
BF,Yes,1000,1000,481,898,1600,482,True,480,898,477,480,898
PH,No,1000,1000,481,898,1600,482,True,,,,,
PH,Yes,1000,1000,481,898,1600,482,True,480,898,477,480,898
BF,No,1000,1000,422,18,1600,423,True,,,,,
BF,Yes,1000,1000,422,18,1600,423,True,423,18,420,423,18
PH,No,1000,1000,422,18,1600,423,True,,,,,
PH,Yes,1000,1000,422,18,1600,423,True,423,18,420,423,18
BF,No,1000,1000,47,942,1600,48,True,,,,,
BF,Yes,1000,1000,47,942,1600,48,True,46,942,45,46,942
PH,No,1000,1000,47,942,1600,48,True,,,,,
PH,Yes,1000,1000,47,942,1600,48,True,46,942,45,46,942
BF,No,1000,1000,143,285,1600,144,True,,,,,
BF,Yes,1000,1000,143,285,1600,144,True,144,285,141,144,285
PH,No,1000,1000,143,285,1600,144,True,,,,,
PH,Yes,1000,1000,143,285,1600,144,True,144,285,141,144,285
BF,No,1000,1000,519,523,1600,481,True,,,,,
BF,Yes,1000,1000,519,523,1600,481,True,519,523,477,519,523
PH,No,1000,1000,519,523,1600,481,True,,,,,
PH,Yes,1000,1000,519,523,1600,481,True,519,523,477,519,523
BF,No,1000,1000,838,643,1600,162,True,,,,,
BF,Yes,1000,1000,838,643,1600,162,True,837,643,159,837,643
PH,No,1000,1000,838,643,1600,162,True,,,,,
PH,Yes,1000,1000,838,643,1600,162,True,837,643,159,837,643
BF,No,1000,1000,57,757,1600,58,True,,,,,
BF,Yes,1000,1000,57,757,1600,58,True,57,757,54,57,757
PH,No,1000,1000,57,757,1600,58,True,,,,,
PH,Yes,1000,1000,57,757,1600,58,True,57,757,54,57,757
BF,No,1000,1000,40,129,1600,960,True,,,,,
BF,Yes,1000,1000,40,129,1600,45,True,40,129,42,40,129
PH,No,1000,1000,40,129,1600,46,True,,,,,
PH,Yes,1000,1000,40,129,1600,45,True,40,129,42,40,129
BF,No,1000,1000,952,734,1600,48,True,,,,,
BF,Yes,1000,1000,952,734,1600,48,True,953,734,45,953,734
PH,No,1000,1000,952,734,1600,48,True,,,,,
PH,Yes,1000,1000,952,734,1600,48,True,953,734,45,953,734
BF,No,1000,1000,537,617,1600,538,True,,,,,
BF,Yes,1000,1000,537,617,1600,465,True,538,617,462,538,617
PH,No,1000,1000,537,617,1600,468,True,,,,,
PH,Yes,1000,1000,537,617,1600,465,True,538,617,462,538,617
BF,No,1000,1000,835,528,1600,165,True,,,,,
BF,Yes,1000,1000,835,528,1600,165,True,834,528,162,834,528
PH,No,1000,1000,835,528,1600,165,True,,,,,
PH,Yes,1000,1000,835,528,1600,165,True,834,528,162,834,528
BF,No,1000,1000,746,702,1600,747,True,,,,,
BF,Yes,1000,1000,746,702,1600,258,True,746,702,255,746,702
PH,No,1000,1000,746,702,1600,259,True,,,,,
PH,Yes,1000,1000,746,702,1600,258,True,746,702,255,746,702
BF,No,1000,1000,954,519,1600,46,True,,,,,
BF,Yes,1000,1000,954,519,1600,46,True,954,519,42,954,519
PH,No,1000,1000,954,519,1600,46,True,,,,,
PH,Yes,1000,1000,954,519,1600,46,True,954,519,42,954,519
BF,No,1000,1000,939,173,1600,61,True,,,,,
BF,Yes,1000,1000,939,173,1600,61,True,939,173,57,939,173
PH,No,1000,1000,939,173,1600,61,True,,,,,
PH,Yes,1000,1000,939,173,1600,61,True,939,173,57,939,173
BF,No,1000,1000,165,505,1600,166,True,,,,,
BF,Yes,1000,1000,165,505,1600,166,True,165,505,162,165,505
PH,No,1000,1000,165,505,1600,166,True,,,,,
PH,Yes,1000,1000,165,505,1600,166,True,165,505,162,165,505
BF,No,1000,1000,164,764,1600,836,True,,,,,
BF,Yes,1000,1000,164,764,1600,167,True,164,764,165,164,764
PH,No,1000,1000,164,764,1600,170,True,,,,,
PH,Yes,1000,1000,164,764,1600,167,True,164,764,165,164,764
BF,No,1000,1000,28,859,1600,972,True,,,,,
BF,Yes,1000,1000,28,859,1600,33,True,28,859,30,28,859
PH,No,1000,1000,28,859,1600,34,True,,,,,
PH,Yes,1000,1000,28,859,1600,33,True,28,859,30,28,859
BF,No,1000,1000,103,699,1600,897,True,,,,,
BF,Yes,1000,1000,103,699,1600,108,True,103,699,105,103,699
PH,No,1000,1000,103,699,1600,109,True,,,,,
PH,Yes,1000,1000,103,699,1600,108,True,103,699,105,103,699
BF,No,1000,1000,280,0,1600,281,True,,,,,
BF,Yes,1000,1000,280,0,1600,281,True,281,0,279,281,0
PH,No,1000,1000,280,0,1600,281,True,,,,,
PH,Yes,1000,1000,280,0,1600,281,True,281,0,279,281,0
BF,No,1000,1000,664,206,1600,336,True,,,,,
BF,Yes,1000,1000,664,206,1600,336,True,663,206,333,663,206
PH,No,1000,1000,664,206,1600,336,True,,,,,
PH,Yes,1000,1000,664,206,1600,336,True,663,206,333,663,206
BF,No,1000,1000,131,884,1600,869,True,,,,,
BF,Yes,1000,1000,131,884,1600,134,True,131,884,132,131,884
PH,No,1000,1000,131,884,1600,137,True,,,,,
PH,Yes,1000,1000,131,884,1600,134,True,131,884,132,131,884
BF,No,1000,1000,641,330,1600,359,True,,,,,
BF,Yes,1000,1000,641,330,1600,359,True,642,330,354,642,330
PH,No,1000,1000,641,330,1600,359,True,,,,,
PH,Yes,1000,1000,641,330,1600,359,True,642,330,354,642,330
BF,No,1000,1000,428,396,1600,429,True,,,,,
BF,Yes,1000,1000,428,396,1600,429,True,427,396,426,427,396
PH,No,1000,1000,428,396,1600,429,True,,,,,
PH,Yes,1000,1000,428,396,1600,429,True,427,396,426,427,396
BF,No,1000,1000,511,941,1600,489,True,,,,,
BF,Yes,1000,1000,511,941,1600,489,True,510,941,486,510,941
PH,No,1000,1000,511,941,1600,489,True,,,,,
PH,Yes,1000,1000,511,941,1600,489,True,510,941,486,510,941
BF,No,1000,1000,527,340,1600,473,True,,,,,
BF,Yes,1000,1000,527,340,1600,473,True,528,340,468,528,340
PH,No,1000,1000,527,340,1600,473,True,,,,,
PH,Yes,1000,1000,527,340,1600,473,True,528,340,468,528,340
