Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,100,100,40,6,16,60,True,,,,,
BF,Yes,100,100,40,6,16,60,True,44,9,42,44,9
PH,No,100,100,40,6,16,60,True,,,,,
PH,Yes,100,100,40,6,16,60,True,44,9,42,44,9
BF,No,100,100,10,50,16,11,True,,,,,
BF,Yes,100,100,10,50,16,11,True,,,,,
PH,No,100,100,10,50,16,11,True,,,,,
PH,Yes,100,100,10,50,16,11,True,,,,,
BF,No,100,100,69,79,16,470,True,,,,,
BF,Yes,100,100,69,79,16,273,True,69,79,270,69,79
PH,No,100,100,69,79,16,59,True,,,,,
PH,Yes,100,100,69,79,16,47,True,64,79,45,64,79
BF,No,100,100,81,24,16,619,True,,,,,
BF,Yes,100,100,81,24,16,619,True,76,24,183,76,24
PH,No,100,100,81,24,16,79,True,,,,,
PH,Yes,100,100,81,24,16,79,True,,,,,
BF,No,100,100,11,89,16,212,True,,,,,
BF,Yes,100,100,11,89,16,191,True,11,89,189,11,89
PH,No,100,100,11,89,16,24,True,,,,,
PH,Yes,100,100,11,89,16,24,True,,,,,
BF,No,100,100,84,57,16,185,True,,,,,
BF,Yes,100,100,84,57,16,86,True,84,57,81,84,57
PH,No,100,100,84,57,16,21,True,,,,,
PH,Yes,100,100,84,57,16,21,True,,,,,
BF,No,100,100,21,92,16,579,True,,,,,
BF,Yes,100,100,21,92,16,84,True,21,92,81,21,92
PH,No,100,100,21,92,16,67,True,,,,,
PH,Yes,100,100,21,92,16,45,True,22,92,42,22,92
BF,No,100,100,87,71,16,388,True,,,,,
BF,Yes,100,100,87,71,16,194,True,87,71,192,87,71
PH,No,100,100,87,71,16,34,True,,,,,
PH,Yes,100,100,87,71,16,28,True,86,73,27,86,73
BF,No,100,100,30,31,16,70,True,,,,,
BF,Yes,100,100,30,31,16,70,True,,,,,
PH,No,100,100,30,31,16,70,True,,,,,
PH,Yes,100,100,30,31,16,70,True,,,,,
BF,No,100,100,43,53,16,357,True,,,,,
BF,Yes,100,100,43,53,16,161,True,43,53,159,43,53
PH,No,100,100,43,53,16,65,True,,,,,
PH,Yes,100,100,43,53,16,62,True,43,53,60,43,53
BF,No,100,100,85,50,16,86,True,,,,,
BF,Yes,100,100,85,50,16,86,True,,,,,
PH,No,100,100,85,50,16,86,True,,,,,
PH,Yes,100,100,85,50,16,86,True,,,,,
BF,No,100,100,9,91,16,410,True,,,,,
BF,Yes,100,100,9,91,16,410,True,6,86,402,6,86
PH,No,100,100,9,91,16,42,True,,,,,
PH,Yes,100,100,9,91,16,37,True,9,91,33,9,91
BF,No,100,100,10,50,16,11,True,,,,,
BF,Yes,100,100,10,50,16,11,True,,,,,
PH,No,100,100,10,50,16,11,True,,,,,
PH,Yes,100,100,10,50,16,11,True,,,,,
BF,No,100,100,91,67,16,509,True,,,,,
BF,Yes,100,100,91,67,16,92,True,91,67,84,91,67
PH,No,100,100,91,67,16,21,True,,,,,
PH,Yes,100,100,91,67,16,21,True,,,,,
BF,No,100,100,59,30,16,541,True,,,,,
BF,Yes,100,100,59,30,16,63,True,59,30,60,59,30
PH,No,100,100,59,30,16,53,True,,,,,
PH,Yes,100,100,59,30,16,53,True,59,30,51,59,30
BF,No,100,100,85,96,16,386,True,,,,,
BF,Yes,100,100,85,96,16,191,True,85,96,189,85,96
PH,No,100,100,85,96,16,36,True,,,,,
PH,Yes,100,100,85,96,16,31,True,84,98,30,84,98
BF,No,100,100,36,87,16,37,True,,,,,
BF,Yes,100,100,36,87,16,37,True,,,,,
PH,No,100,100,36,87,16,37,True,,,,,
PH,Yes,100,100,36,87,16,37,True,,,,,
BF,No,100,100,67,49,16,633,True,,,,,
BF,Yes,100,100,67,49,16,633,True,,,,,
PH,No,100,100,67,49,16,80,True,,,,,
PH,Yes,100,100,67,49,16,80,True,,,,,
BF,No,100,100,6,16,16,407,True,,,,,
BF,Yes,100,100,6,16,16,407,True,,,,10,14
PH,No,100,100,6,16,16,39,True,,,,,
PH,Yes,100,100,6,16,16,39,True,10,14,30,10,14
BF,No,100,100,95,88,16,105,True,,,,,
BF,Yes,100,100,95,88,16,105,True,99,97,87,99,97
PH,No,100,100,95,88,16,74,True,,,,,
PH,Yes,100,100,95,88,16,74,True,99,97,15,99,97
BF,No,100,100,52,59,16,353,True,,,,,
BF,Yes,100,100,52,59,16,158,True,52,59,156,52,59
PH,No,100,100,52,59,16,69,True,,,,,
PH,Yes,100,100,52,59,16,62,True,52,59,60,52,59
