Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,509,566,28,3241,True,,,,,
BF,Yes,750,750,509,566,28,2497,True,509,566,2493,509,566
PH,No,750,750,509,566,28,273,True,,,,,
PH,Yes,750,750,509,566,28,273,True,,,,,
BF,No,750,750,438,315,28,16189,True,,,,,
BF,Yes,750,750,438,315,28,16189,True,,,,441,313
PH,No,750,750,438,315,28,571,True,,,,,
PH,Yes,750,750,438,315,28,571,True,,,,,
BF,No,750,750,667,115,28,6668,True,,,,,
BF,Yes,750,750,667,115,28,5174,True,667,115,5172,667,115
PH,No,750,750,667,115,28,764,True,,,,,
PH,Yes,750,750,667,115,28,764,True,,,,,
BF,No,750,750,641,293,28,20142,True,,,,,
BF,Yes,750,750,641,293,28,2359,True,641,293,2250,641,293
PH,No,750,750,641,293,28,121,True,,,,,
PH,Yes,750,750,641,293,28,121,True,,,,,
BF,No,750,750,6,642,28,7,True,,,,,
BF,Yes,750,750,6,642,28,7,True,,,,,
PH,No,750,750,6,642,28,7,True,,,,,
PH,Yes,750,750,6,642,28,7,True,,,,,
BF,No,750,750,95,511,28,2346,True,,,,,
BF,Yes,750,750,95,511,28,2346,True,95,511,2250,95,511
PH,No,750,750,95,511,28,676,True,,,,,
PH,Yes,750,750,95,511,28,676,True,,,,,
BF,No,750,750,420,658,28,12421,True,,,,,
BF,Yes,750,750,420,658,28,10933,True,420,658,10929,420,658
PH,No,750,750,420,658,28,5697,True,,,,,
PH,Yes,750,750,420,658,28,5697,True,,,,,
BF,No,750,750,268,588,28,19982,True,,,,,
BF,Yes,750,750,268,588,28,2519,True,268,588,2250,268,588
PH,No,750,750,268,588,28,281,True,,,,,
PH,Yes,750,750,268,588,28,281,True,,,,,
BF,No,750,750,23,258,28,12774,True,,,,,
BF,Yes,750,750,23,258,28,12733,True,23,258,12729,23,258
PH,No,750,750,23,258,28,6844,True,,,,,
PH,Yes,750,750,23,258,28,6844,True,,,,,
BF,No,750,750,639,437,28,6861,True,,,,,
BF,Yes,750,750,639,437,28,5366,True,639,437,5364,639,437
PH,No,750,750,639,437,28,757,True,,,,,
PH,Yes,750,750,639,437,28,757,True,,,,,
