Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,500,500,159,445,8,4341,True,,,,,
BF,Yes,500,500,159,445,8,3678,True,162,444,3357,162,444
PH,No,500,500,159,445,8,437,True,,,,,
PH,Yes,500,500,159,445,8,438,True,158,443,432,158,443
BF,No,500,500,314,186,8,30686,True,,,,,
BF,Yes,500,500,314,186,8,815,True,314,186,807,314,186
PH,No,500,500,314,186,8,198,True,,,,,
PH,Yes,500,500,314,186,8,198,True,,,,,
BF,No,500,500,303,168,8,21697,True,,,,,
BF,Yes,500,500,303,168,8,21697,True,,,,307,165
PH,No,500,500,303,168,8,17421,True,,,,,
PH,Yes,500,500,303,168,8,17421,True,308,165,17406,308,165
BF,No,500,500,378,448,8,5879,True,,,,,
BF,Yes,500,500,378,448,8,5879,True,,,,381,446
PH,No,500,500,378,448,8,1239,True,,,,,
PH,Yes,500,500,378,448,8,1239,True,373,445,1224,373,445
BF,No,500,500,324,192,8,2825,True,,,,,
BF,Yes,500,500,324,192,8,2825,True,324,186,816,324,186
PH,No,500,500,324,192,8,221,True,,,,,
PH,Yes,500,500,324,192,8,220,True,324,192,216,324,192
BF,No,500,500,4,158,8,16996,True,,,,,
BF,Yes,500,500,4,158,8,16996,True,,,,0,156
PH,No,500,500,4,158,8,12104,True,,,,,
PH,Yes,500,500,4,158,8,12103,True,5,156,12093,5,156
BF,No,500,500,467,479,8,21033,True,,,,,
BF,Yes,500,500,467,479,8,21033,True,,,,462,477
PH,No,500,500,467,479,8,17085,True,,,,,
PH,Yes,500,500,467,479,8,17085,True,472,476,17070,472,476
BF,No,500,500,388,356,8,22112,True,,,,,
BF,Yes,500,500,388,356,8,22112,True,,,,385,354
PH,No,500,500,388,356,8,18006,True,,,,,
PH,Yes,500,500,388,356,8,18006,True,393,353,17991,393,353
BF,No,500,500,182,455,8,9318,True,,,,,
BF,Yes,500,500,182,455,8,9318,True,,,,177,453
PH,No,500,500,182,455,8,4800,True,,,,,
PH,Yes,500,500,182,455,8,4800,True,187,452,4785,187,452
BF,No,500,500,447,273,8,11553,True,,,,,
BF,Yes,500,500,447,273,8,11553,True,,,,442,271
PH,No,500,500,447,273,8,7565,True,,,,,
PH,Yes,500,500,447,273,8,7565,True,443,271,7557,443,271
