Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,179,306,10,4680,True,,,,,
BF,Yes,750,750,179,306,10,3185,True,179,306,3183,179,306
PH,No,750,750,179,306,10,240,True,,,,,
PH,Yes,750,750,179,306,10,240,True,,,,,
BF,No,750,750,265,89,10,10985,True,,,,,
BF,Yes,750,750,265,89,10,9491,True,265,89,9489,265,89
PH,No,750,750,265,89,10,4133,True,,,,,
PH,Yes,750,750,265,89,10,4133,True,,,,,
BF,No,750,750,682,176,10,20183,True,,,,,
BF,Yes,750,750,682,176,10,18689,True,682,176,18687,682,176
PH,No,750,750,682,176,10,12935,True,,,,,
PH,Yes,750,750,682,176,10,12935,True,,,,,
BF,No,750,750,7,263,10,29243,True,,,,,
BF,Yes,750,750,7,263,10,84007,True,7,263,84003,7,263
PH,No,750,750,7,263,10,21871,True,,,,,
PH,Yes,750,750,7,263,10,21871,True,,,,,
BF,No,750,750,372,587,10,46878,True,,,,,
BF,Yes,750,750,372,587,10,45383,True,372,587,45381,372,587
PH,No,750,750,372,587,10,40240,True,,,,,
PH,Yes,750,750,372,587,10,40240,True,,,,,
BF,No,750,750,711,497,10,35289,True,,,,,
BF,Yes,750,750,711,497,10,33794,True,711,497,33792,711,497
PH,No,750,750,711,497,10,29329,True,,,,,
PH,Yes,750,750,711,497,10,29310,True,711,497,29307,711,497
BF,No,750,750,379,371,10,53621,True,,,,,
BF,Yes,750,750,379,371,10,53621,True,379,372,50622,379,372
PH,No,750,750,379,371,10,443,True,,,,,
PH,Yes,750,750,379,371,10,443,True,,,,,
BF,No,750,750,318,108,10,25069,True,,,,,
BF,Yes,750,750,318,108,10,23581,True,318,108,23577,318,108
PH,No,750,750,318,108,10,18549,True,,,,,
PH,Yes,750,750,318,108,10,18549,True,,,,,
BF,No,750,750,738,76,10,1489,True,,,,,
BF,Yes,750,750,738,76,10,1489,True,,,,,
PH,No,750,750,738,76,10,17,True,,,,,
PH,Yes,750,750,738,76,10,17,True,,,,,
BF,No,750,750,130,0,10,131,True,,,,,
BF,Yes,750,750,130,0,10,131,True,,,,,
PH,No,750,750,130,0,10,131,True,,,,,
PH,Yes,750,750,130,0,10,131,True,,,,,
