Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,50,50,43,11,3,557,True,,,,,
BF,Yes,50,50,43,11,3,557,True,43,14,360,43,14
PH,No,50,50,43,11,3,249,True,,,,,
PH,Yes,50,50,43,11,3,249,True,43,14,192,43,14
BF,No,50,50,4,34,3,96,True,,,,,
BF,Yes,50,50,4,34,3,99,True,4,34,96,4,34
PH,No,50,50,4,34,3,10,True,,,,,
PH,Yes,50,50,4,34,3,10,True,,,,,
BF,No,50,50,16,5,3,284,True,,,,,
BF,Yes,50,50,16,5,3,196,True,16,5,192,16,5
PH,No,50,50,16,5,3,62,True,,,,,
PH,Yes,50,50,16,5,3,61,True,16,5,57,16,5
BF,No,50,50,22,13,3,678,True,,,,,
BF,Yes,50,50,22,13,3,584,True,22,13,582,22,13
PH,No,50,50,22,13,3,76,True,,,,,
PH,Yes,50,50,22,13,3,52,True,22,13,48,22,13
BF,No,50,50,19,26,3,531,True,,,,,
BF,Yes,50,50,19,26,3,531,True,,,,16,22
PH,No,50,50,19,26,3,187,True,,,,,
PH,Yes,50,50,19,26,3,187,True,,,,18,29
BF,No,50,50,14,49,3,815,True,,,,,
BF,Yes,50,50,14,49,3,815,True,,,,17,47
PH,No,50,50,14,49,3,503,True,,,,,
PH,Yes,50,50,14,49,3,503,True,18,47,495,18,47
BF,No,50,50,44,20,3,206,True,,,,,
BF,Yes,50,50,44,20,3,100,True,46,21,99,46,21
PH,No,50,50,44,20,3,38,True,,,,,
PH,Yes,50,50,44,20,3,31,True,44,20,27,44,20
BF,No,50,50,8,16,3,42,True,,,,,
BF,Yes,50,50,8,16,3,42,True,,,,,
PH,No,50,50,8,16,3,42,True,,,,,
PH,Yes,50,50,8,16,3,42,True,,,,,
BF,No,50,50,32,1,3,68,True,,,,,
BF,Yes,50,50,32,1,3,68,True,32,1,60,32,1
PH,No,50,50,32,1,3,38,True,,,,,
PH,Yes,50,50,32,1,3,38,True,,,,,
BF,No,50,50,0,47,3,701,True,,,,,
BF,Yes,50,50,0,47,3,701,True,0,46,501,0,46
PH,No,50,50,0,47,3,357,True,,,,,
PH,Yes,50,50,0,47,3,344,True,0,47,342,0,47
BF,No,50,50,33,23,3,384,True,,,,,
BF,Yes,50,50,33,23,3,290,True,33,23,288,33,23
PH,No,50,50,33,23,3,94,True,,,,,
PH,Yes,50,50,33,23,3,73,True,34,23,72,34,23
BF,No,50,50,45,14,3,746,True,,,,,
BF,Yes,50,50,45,14,3,110,True,45,14,105,45,14
PH,No,50,50,45,14,3,33,True,,,,,
PH,Yes,50,50,45,14,3,30,True,45,14,27,45,14
BF,No,50,50,12,0,3,13,True,,,,,
BF,Yes,50,50,12,0,3,13,True,,,,,
PH,No,50,50,12,0,3,13,True,,,,,
PH,Yes,50,50,12,0,3,13,True,,,,,
BF,No,50,50,37,16,3,13,True,,,,,
BF,Yes,50,50,37,16,3,13,True,,,,,
PH,No,50,50,37,16,3,13,True,,,,,
PH,Yes,50,50,37,16,3,13,True,,,,,
BF,No,50,50,38,20,3,212,True,,,,,
BF,Yes,50,50,38,20,3,212,True,36,15,198,36,15
PH,No,50,50,38,20,3,44,True,,,,,
PH,Yes,50,50,38,20,3,37,True,38,20,33,38,20
BF,No,50,50,21,20,3,229,True,,,,,
BF,Yes,50,50,21,20,3,229,True,19,15,222,19,15
PH,No,50,50,21,20,3,61,True,,,,,
PH,Yes,50,50,21,20,3,47,True,21,21,45,21,21
BF,No,50,50,45,0,3,46,True,,,,,
BF,Yes,50,50,45,0,3,46,True,,,,,
PH,No,50,50,45,0,3,46,True,,,,,
PH,Yes,50,50,45,0,3,46,True,,,,,
BF,No,50,50,4,7,3,396,True,,,,,
BF,Yes,50,50,4,7,3,396,True,,,,1,3
PH,No,50,50,4,7,3,74,True,,,,,
PH,Yes,50,50,4,7,3,75,True,4,7,72,4,7
BF,No,50,50,14,25,3,465,True,,,,,
BF,Yes,50,50,14,25,3,465,True,,,,17,21
PH,No,50,50,14,25,3,153,True,,,,,
PH,Yes,50,50,14,25,3,153,True,,,,17,21
BF,No,50,50,31,10,3,532,True,,,,,
BF,Yes,50,50,31,10,3,532,True,,,,31,9
PH,No,50,50,31,10,3,151,True,,,,,
PH,Yes,50,50,31,10,3,151,True,,,,28,13
BF,No,50,50,44,3,3,156,True,,,,,
BF,Yes,50,50,44,3,3,60,True,44,3,57,44,3
PH,No,50,50,44,3,3,66,True,,,,,
PH,Yes,50,50,44,3,3,61,True,45,5,60,45,5
BF,No,50,50,34,49,3,835,True,,,,,
BF,Yes,50,50,34,49,3,835,True,,,,30,46
PH,No,50,50,34,49,3,483,True,,,,,
PH,Yes,50,50,34,49,3,483,True,29,46,468,29,46
BF,No,50,50,26,11,3,574,True,,,,,
BF,Yes,50,50,26,11,3,574,True,26,14,474,26,14
PH,No,50,50,26,11,3,124,True,,,,,
PH,Yes,50,50,26,11,3,90,True,26,11,87,26,11
BF,No,50,50,38,13,3,662,True,,,,,
BF,Yes,50,50,38,13,3,566,True,38,13,564,38,13
PH,No,50,50,38,13,3,60,True,,,,,
PH,Yes,50,50,38,13,3,29,True,35,13,27,35,13
BF,No,50,50,24,25,3,475,True,,,,,
BF,Yes,50,50,24,25,3,475,True,,,,25,22
PH,No,50,50,24,25,3,143,True,,,,,
PH,Yes,50,50,24,25,3,143,True,,,,28,21
BF,No,50,50,33,35,3,134,True,,,,,
BF,Yes,50,50,33,35,3,170,True,33,35,168,33,35
PH,No,50,50,33,35,3,46,True,,,,,
PH,Yes,50,50,33,35,3,46,True,35,37,45,35,37
BF,No,50,50,0,5,3,300,True,,,,,
BF,Yes,50,50,0,5,3,107,True,0,6,105,0,6
PH,No,50,50,0,5,3,30,True,,,,,
PH,Yes,50,50,0,5,3,24,True,0,5,21,0,5
BF,No,50,50,21,41,3,422,True,,,,,
BF,Yes,50,50,21,41,3,399,True,18,40,342,18,40
PH,No,50,50,21,41,3,118,True,,,,,
PH,Yes,50,50,21,41,3,121,True,22,39,117,22,39
BF,No,50,50,7,43,3,508,True,,,,,
BF,Yes,50,50,7,43,3,508,True,,,,11,41
PH,No,50,50,7,43,3,202,True,,,,,
PH,Yes,50,50,7,43,3,202,True,11,41,195,11,41
BF,No,50,50,6,49,3,807,True,,,,,
BF,Yes,50,50,6,49,3,807,True,,,,11,47
PH,No,50,50,6,49,3,499,True,,,,,
PH,Yes,50,50,6,49,3,499,True,10,47,492,10,47
BF,No,50,50,20,47,3,721,True,,,,,
BF,Yes,50,50,20,47,3,721,True,,,,17,44
PH,No,50,50,20,47,3,397,True,,,,,
PH,Yes,50,50,20,47,3,397,True,24,45,390,24,45
BF,No,50,50,46,13,3,654,True,,,,,
BF,Yes,50,50,46,13,3,107,True,46,13,105,46,13
PH,No,50,50,46,13,3,332,True,,,,,
PH,Yes,50,50,46,13,3,326,True,46,13,324,46,13
BF,No,50,50,12,26,3,538,True,,,,,
BF,Yes,50,50,12,26,3,538,True,,,,10,23
PH,No,50,50,12,26,3,180,True,,,,,
PH,Yes,50,50,12,26,3,180,True,,,,12,29
BF,No,50,50,47,19,3,198,True,,,,,
BF,Yes,50,50,47,19,3,105,True,47,19,102,47,19
PH,No,50,50,47,19,3,22,True,,,,,
PH,Yes,50,50,47,19,3,22,True,49,21,21,49,21
BF,No,50,50,43,19,3,194,True,,,,,
BF,Yes,50,50,43,19,3,106,True,43,19,102,43,19
PH,No,50,50,43,19,3,28,True,,,,,
