Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,200,200,3,2,6,404,True,,,,,
BF,Yes,200,200,3,2,6,406,True,3,2,402,3,2
PH,No,200,200,3,2,6,16,True,,,,,
PH,Yes,200,200,3,2,6,16,True,,,,,
BF,No,200,200,188,126,6,5212,True,,,,,
BF,Yes,200,200,188,126,6,5212,True,188,127,4791,188,127
PH,No,200,200,188,126,6,357,True,,,,,
PH,Yes,200,200,188,126,6,357,True,192,128,333,192,128
BF,No,200,200,123,63,6,6077,True,,,,,
BF,Yes,200,200,123,63,6,5681,True,123,63,5679,123,63
PH,No,200,200,123,63,6,172,True,,,,,
PH,Yes,200,200,123,63,6,148,True,123,63,144,123,63
BF,No,200,200,43,165,6,6444,True,,,,,
BF,Yes,200,200,43,165,6,244,True,43,165,237,43,165
PH,No,200,200,43,165,6,169,True,,,,,
PH,Yes,200,200,43,165,6,169,True,38,166,168,38,166
BF,No,200,200,139,181,6,3140,True,,,,,
BF,Yes,200,200,139,181,6,3140,True,,,,142,179
PH,No,200,200,139,181,6,1378,True,,,,,
PH,Yes,200,200,139,181,6,1378,True,143,179,1371,143,179
BF,No,200,200,85,12,6,2486,True,,,,,
BF,Yes,200,200,85,12,6,2486,True,,,,88,10
PH,No,200,200,85,12,6,832,True,,,,,
PH,Yes,200,200,85,12,6,832,True,89,10,825,89,10
BF,No,200,200,2,46,6,2603,True,,,,,
BF,Yes,200,200,2,46,6,2216,True,0,44,1818,0,44
PH,No,200,200,2,46,6,1075,True,,,,,
PH,Yes,200,200,2,46,6,1065,True,3,44,1059,3,44
BF,No,200,200,99,45,6,2501,True,,,,,
BF,Yes,200,200,99,45,6,2501,True,,,,96,43
PH,No,200,200,99,45,6,817,True,,,,,
PH,Yes,200,200,99,45,6,817,True,95,43,810,95,43
BF,No,200,200,69,155,6,4470,True,,,,,
BF,Yes,200,200,69,155,6,4470,True,,,,74,153
PH,No,200,200,69,155,6,2848,True,,,,,
PH,Yes,200,200,69,155,6,2848,True,73,153,2841,73,153
BF,No,200,200,163,114,6,2837,True,,,,,
BF,Yes,200,200,163,114,6,2837,True,,,,160,112
PH,No,200,200,163,114,6,1281,True,,,,,
PH,Yes,200,200,163,114,6,1281,True,168,111,1266,168,111
BF,No,200,200,81,150,6,3519,True,,,,,
BF,Yes,200,200,81,150,6,3519,True,,,,76,148
PH,No,200,200,81,150,6,1799,True,,,,,
PH,Yes,200,200,81,150,6,1799,True,77,148,1791,77,148
BF,No,200,200,1,169,6,602,True,,,,,
BF,Yes,200,200,1,169,6,226,True,1,169,222,1,169
PH,No,200,200,1,169,6,212,True,,,,,
PH,Yes,200,200,1,169,6,221,True,1,169,216,1,169
