Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,120,454,10,3121,True,,,,,
BF,Yes,750,750,120,454,10,2377,True,120,454,2373,120,454
PH,No,750,750,120,454,10,153,True,,,,,
PH,Yes,750,750,120,454,10,153,True,,,,,
BF,No,750,750,345,167,10,13155,True,,,,,
BF,Yes,750,750,345,167,10,11660,True,345,167,11658,345,167
PH,No,750,750,345,167,10,6463,True,,,,,
PH,Yes,750,750,345,167,10,6463,True,,,,,
BF,No,750,750,708,729,10,40542,True,,,,,
BF,Yes,750,750,708,729,10,39047,True,708,729,39045,708,729
PH,No,750,750,708,729,10,34576,True,,,,,
PH,Yes,750,750,708,729,10,34576,True,,,,,
BF,No,750,750,32,187,10,28468,True,,,,,
BF,Yes,750,750,32,187,10,26980,True,32,187,26976,32,187
PH,No,750,750,32,187,10,21150,True,,,,,
PH,Yes,750,750,32,187,10,21150,True,,,,,
BF,No,750,750,535,110,10,26786,True,,,,,
BF,Yes,750,750,535,110,10,25292,True,535,110,25290,535,110
PH,No,750,750,535,110,10,19832,True,,,,,
PH,Yes,750,750,535,110,10,19832,True,,,,,
BF,No,750,750,245,365,10,49255,True,,,,,
BF,Yes,750,750,245,365,10,47767,True,245,365,47763,245,365
PH,No,750,750,245,365,10,42363,True,,,,,
PH,Yes,750,750,245,365,10,42363,True,,,,,
BF,No,750,750,738,369,10,51762,True,,,,,
BF,Yes,750,750,738,369,10,51745,True,738,369,51741,738,369
PH,No,750,750,738,369,10,144,True,,,,,
PH,Yes,750,750,738,369,10,144,True,,,,,
BF,No,750,750,581,413,10,28669,True,,,,,
BF,Yes,750,750,581,413,10,27181,True,581,413,27177,581,413
PH,No,750,750,581,413,10,22449,True,,,,,
PH,Yes,750,750,581,413,10,22449,True,,,,,
BF,No,750,750,447,685,10,7803,True,,,,,
BF,Yes,750,750,447,685,10,6308,True,447,685,6306,447,685
PH,No,750,750,447,685,10,1315,True,,,,,
PH,Yes,750,750,447,685,10,1315,True,,,,,
BF,No,750,750,668,698,10,17919,True,,,,,
BF,Yes,750,750,668,698,10,16424,True,668,698,16422,668,698
PH,No,750,750,668,698,10,10699,True,,,,,
PH,Yes,750,750,668,698,10,10699,True,,,,,
