Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,300,300,60,51,6,361,True,,,,,
BF,Yes,300,300,60,51,6,363,True,60,51,360,60,51
PH,No,300,300,60,51,6,245,True,,,,,
PH,Yes,300,300,60,51,6,245,True,,,,,
BF,No,300,300,161,231,6,9439,True,,,,,
BF,Yes,300,300,161,231,6,9439,True,,,,158,229
PH,No,300,300,161,231,6,6879,True,,,,,
PH,Yes,300,300,161,231,6,6879,True,166,228,6864,166,228
BF,No,300,300,70,71,6,6371,True,,,,,
BF,Yes,300,300,70,71,6,6371,True,,,,75,69
PH,No,300,300,70,71,6,3947,True,,,,,
PH,Yes,300,300,70,71,6,3947,True,74,69,3939,74,69
BF,No,300,300,193,277,6,8294,True,,,,,
BF,Yes,300,300,193,277,6,8294,True,,,,198,275
PH,No,300,300,193,277,6,5624,True,,,,,
PH,Yes,300,300,193,277,6,5624,True,197,275,5616,197,275
BF,No,300,300,238,279,6,8939,True,,,,,
BF,Yes,300,300,238,279,6,8939,True,,,,243,277
PH,No,300,300,238,279,6,6179,True,,,,,
PH,Yes,300,300,238,279,6,6179,True,242,277,6171,242,277
BF,No,300,300,182,259,6,2883,True,,,,,
BF,Yes,300,300,182,259,6,2883,True,,,,179,256
PH,No,300,300,182,259,6,235,True,,,,,
PH,Yes,300,300,182,259,6,235,True,186,257,228,186,257
BF,No,300,300,265,267,6,5366,True,,,,,
BF,Yes,300,300,265,267,6,5366,True,,,,270,265
PH,No,300,300,265,267,6,2552,True,,,,,
PH,Yes,300,300,265,267,6,2552,True,269,265,2544,269,265
BF,No,300,300,219,31,6,9381,True,,,,,
BF,Yes,300,300,219,31,6,9381,True,,,,222,28
PH,No,300,300,219,31,6,6937,True,,,,,
PH,Yes,300,300,219,31,6,6937,True,215,29,6930,215,29
BF,No,300,300,150,192,6,12750,True,,,,,
BF,Yes,300,300,150,192,6,12750,True,150,195,12150,150,195
PH,No,300,300,150,192,6,10168,True,,,,,
PH,Yes,300,300,150,192,6,10168,True,150,194,10149,150,194
BF,No,300,300,169,134,6,10370,True,,,,,
BF,Yes,300,300,169,134,6,10370,True,,,,174,132
PH,No,300,300,169,134,6,7748,True,,,,,
PH,Yes,300,300,169,134,6,7748,True,173,132,7740,173,132
BF,No,300,300,260,60,6,3040,True,,,,,
BF,Yes,300,300,260,60,6,3040,True,,,,257,58
PH,No,300,300,260,60,6,678,True,,,,,
PH,Yes,300,300,260,60,6,678,True,265,57,663,265,57
BF,No,300,300,175,162,6,3725,True,,,,,
BF,Yes,300,300,175,162,6,3725,True,,,,170,160
PH,No,300,300,175,162,6,1193,True,,,,,
PH,Yes,300,300,175,162,6,1193,True,171,160,1185,171,160
