Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,705,737,10,46545,True,,,,,
BF,Yes,750,750,705,737,10,45050,True,705,737,45048,705,737
PH,No,750,750,705,737,10,40573,True,,,,,
PH,Yes,750,750,705,737,10,40553,True,705,737,40548,705,737
BF,No,750,750,476,252,10,20727,True,,,,,
BF,Yes,750,750,476,252,10,19232,True,476,252,19230,476,252
PH,No,750,750,476,252,10,13891,True,,,,,
PH,Yes,750,750,476,252,10,13891,True,,,,,
BF,No,750,750,607,408,10,25358,True,,,,,
BF,Yes,750,750,607,408,10,23864,True,607,408,23862,607,408
PH,No,750,750,607,408,10,18260,True,,,,,
PH,Yes,750,750,607,408,10,18260,True,,,,,
BF,No,750,750,727,128,10,40478,True,,,,,
BF,Yes,750,750,727,128,10,38984,True,727,128,38982,727,128
PH,No,750,750,727,128,10,33140,True,,,,,
PH,Yes,750,750,727,128,10,33140,True,,,,,
BF,No,750,750,542,548,10,17793,True,,,,,
BF,Yes,750,750,542,548,10,16298,True,542,548,16296,542,548
PH,No,750,750,542,548,10,10825,True,,,,,
PH,Yes,750,750,542,548,10,10825,True,,,,,
BF,No,750,750,248,100,10,18999,True,,,,,
BF,Yes,750,750,248,100,10,17504,True,248,100,17502,248,100
PH,No,750,750,248,100,10,12619,True,,,,,
PH,Yes,750,750,248,100,10,12619,True,,,,,
BF,No,750,750,282,492,10,31783,True,,,,,
BF,Yes,750,750,282,492,10,30295,True,282,492,30291,282,492
PH,No,750,750,282,492,10,25335,True,,,,,
PH,Yes,750,750,282,492,10,25335,True,,,,,
BF,No,750,750,130,184,10,25631,True,,,,,
BF,Yes,750,750,130,184,10,24137,True,130,184,24135,130,184
PH,No,750,750,130,184,10,19487,True,,,,,
PH,Yes,750,750,130,184,10,19487,True,,,,,
BF,No,750,750,50,86,10,8301,True,,,,,
BF,Yes,750,750,50,86,10,6806,True,50,86,6804,50,86
PH,No,750,750,50,86,10,2317,True,,,,,
PH,Yes,750,750,50,86,10,2297,True,50,86,2292,50,86
BF,No,750,750,731,482,10,24732,True,,,,,
BF,Yes,750,750,731,482,10,23237,True,731,482,23235,731,482
PH,No,750,750,731,482,10,17386,True,,,,,
PH,Yes,750,750,731,482,10,17386,True,,,,,
