Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,500,500,159,445,8,4341,True,,,,,
BF,Yes,500,500,159,445,8,3678,True,162,444,3357,162,444
PH,No,500,500,159,445,8,437,True,,,,,
PH,Yes,500,500,159,445,8,438,True,158,443,432,158,443
BF,No,500,500,314,186,8,30686,True,,,,,
BF,Yes,500,500,314,186,8,815,True,314,186,807,314,186
PH,No,500,500,314,186,8,198,True,,,,,
PH,Yes,500,500,314,186,8,198,True,,,,,
BF,No,500,500,303,168,8,21697,True,,,,,
BF,Yes,500,500,303,168,8,21697,True,,,,307,165
PH,No,500,500,303,168,8,17421,True,,,,,
PH,Yes,500,500,303,168,8,17421,True,308,165,17406,308,165
BF,No,500,500,378,448,8,5879,True,,,,,
BF,Yes,500,500,378,448,8,5879,True,,,,381,446
PH,No,500,500,378,448,8,1239,True,,,,,
PH,Yes,500,500,378,448,8,1239,True,373,445,1224,373,445
BF,No,500,500,324,192,8,2825,True,,,,,
BF,Yes,500,500,324,192,8,2825,True,324,186,816,324,186
PH,No,500,500,324,192,8,221,True,,,,,
PH,Yes,500,500,324,192,8,220,True,324,192,216,324,192
BF,No,500,500,4,158,8,16996,True,,,,,
BF,Yes,500,500,4,158,8,16996,True,,,,0,156
PH,No,500,500,4,158,8,12104,True,,,,,
PH,Yes,500,500,4,158,8,12103,True,5,156,12093,5,156
BF,No,500,500,467,479,8,21033,True,,,,,
BF,Yes,500,500,467,479,8,21033,True,,,,462,477
PH,No,500,500,467,479,8,17085,True,,,,,
PH,Yes,500,500,467,479,8,17085,True,472,476,17070,472,476
BF,No,500,500,388,356,8,22112,True,,,,,
BF,Yes,500,500,388,356,8,22112,True,,,,385,354
PH,No,500,500,388,356,8,18006,True,,,,,
PH,Yes,500,500,388,356,8,18006,True,393,353,17991,393,353
BF,No,500,500,182,455,8,9318,True,,,,,
BF,Yes,500,500,182,455,8,9318,True,,,,177,453
PH,No,500,500,182,455,8,4800,True,,,,,
PH,Yes,500,500,182,455,8,4800,True,187,452,4785,187,452
BF,No,500,500,447,273,8,11553,True,,,,,
BF,Yes,500,500,447,273,8,11553,True,,,,442,271
PH,No,500,500,447,273,8,7565,True,,,,,
PH,Yes,500,500,447,273,8,7565,True,443,271,7557,443,271
BF,No,500,500,250,166,8,20750,True,,,,,
BF,Yes,500,500,250,166,8,20750,True,,,,247,164
PH,No,500,500,250,166,8,16368,True,,,,,
PH,Yes,500,500,250,166,8,16368,True,255,163,16353,255,163
BF,No,500,500,85,327,8,7586,True,,,,,
BF,Yes,500,500,85,327,8,7586,True,,,,88,325
PH,No,500,500,85,327,8,3532,True,,,,,
PH,Yes,500,500,85,327,8,3532,True,89,325,3525,89,325
BF,No,500,500,323,34,8,17324,True,,,,,
BF,Yes,500,500,323,34,8,17324,True,,,,326,32
PH,No,500,500,323,34,8,12794,True,,,,,
PH,Yes,500,500,323,34,8,12794,True,327,32,12786,327,32
BF,No,500,500,322,389,8,7323,True,,,,,
BF,Yes,500,500,322,389,8,7323,True,,,,327,387
PH,No,500,500,322,389,8,2795,True,,,,,
PH,Yes,500,500,322,389,8,2795,True,326,387,2787,326,387
BF,No,500,500,30,477,8,20470,True,,,,,
BF,Yes,500,500,30,477,8,20470,True,,,,34,474
PH,No,500,500,30,477,8,15648,True,,,,,
PH,Yes,500,500,30,477,8,15648,True,35,474,15633,35,474
BF,No,500,500,455,295,8,22545,True,,,,,
BF,Yes,500,500,455,295,8,22545,True,,,,450,293
PH,No,500,500,455,295,8,18573,True,,,,,
PH,Yes,500,500,455,295,8,18573,True,460,292,18558,460,292
BF,No,500,500,228,262,8,6229,True,,,,,
BF,Yes,500,500,228,262,8,6229,True,,,,226,259
PH,No,500,500,228,262,8,1889,True,,,,,
PH,Yes,500,500,228,262,8,1889,True,232,260,1881,232,260
BF,No,500,500,385,315,8,1886,True,,,,,
BF,Yes,500,500,385,315,8,892,True,385,315,888,385,315
PH,No,500,500,385,315,8,136,True,,,,,
PH,Yes,500,500,385,315,8,130,True,384,317,129,384,317
BF,No,500,500,255,364,8,26245,True,,,,,
BF,Yes,500,500,255,364,8,26245,True,,,,259,361
PH,No,500,500,255,364,8,21873,True,,,,,
PH,Yes,500,500,255,364,8,21873,True,260,361,21858,260,361
BF,No,500,500,76,306,8,28077,True,,,,,
BF,Yes,500,500,76,306,8,28077,True,76,306,26925,76,306
PH,No,500,500,76,306,8,556,True,,,,,
