Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,500,500,250,166,8,20750,True,,,,,
BF,Yes,500,500,250,166,8,20750,True,,,,247,164
PH,No,500,500,250,166,8,16368,True,,,,,
PH,Yes,500,500,250,166,8,16368,True,255,163,16353,255,163
BF,No,500,500,85,327,8,7586,True,,,,,
BF,Yes,500,500,85,327,8,7586,True,,,,88,325
PH,No,500,500,85,327,8,3532,True,,,,,
PH,Yes,500,500,85,327,8,3532,True,89,325,3525,89,325
BF,No,500,500,323,34,8,17324,True,,,,,
BF,Yes,500,500,323,34,8,17324,True,,,,326,32
PH,No,500,500,323,34,8,12794,True,,,,,
PH,Yes,500,500,323,34,8,12794,True,327,32,12786,327,32
BF,No,500,500,322,389,8,7323,True,,,,,
BF,Yes,500,500,322,389,8,7323,True,,,,327,387
PH,No,500,500,322,389,8,2795,True,,,,,
PH,Yes,500,500,322,389,8,2795,True,326,387,2787,326,387
BF,No,500,500,30,477,8,20470,True,,,,,
BF,Yes,500,500,30,477,8,20470,True,,,,34,474
PH,No,500,500,30,477,8,15648,True,,,,,
PH,Yes,500,500,30,477,8,15648,True,35,474,15633,35,474
BF,No,500,500,455,295,8,22545,True,,,,,
BF,Yes,500,500,455,295,8,22545,True,,,,450,293
PH,No,500,500,455,295,8,18573,True,,,,,
PH,Yes,500,500,455,295,8,18573,True,460,292,18558,460,292
BF,No,500,500,228,262,8,6229,True,,,,,
BF,Yes,500,500,228,262,8,6229,True,,,,226,259
PH,No,500,500,228,262,8,1889,True,,,,,
PH,Yes,500,500,228,262,8,1889,True,232,260,1881,232,260
BF,No,500,500,385,315,8,1886,True,,,,,
BF,Yes,500,500,385,315,8,892,True,385,315,888,385,315
PH,No,500,500,385,315,8,136,True,,,,,
PH,Yes,500,500,385,315,8,130,True,384,317,129,384,317
BF,No,500,500,255,364,8,26245,True,,,,,
BF,Yes,500,500,255,364,8,26245,True,,,,259,361
PH,No,500,500,255,364,8,21873,True,,,,,
PH,Yes,500,500,255,364,8,21873,True,260,361,21858,260,361
BF,No,500,500,76,306,8,28077,True,,,,,
BF,Yes,500,500,76,306,8,28077,True,76,306,26925,76,306
PH,No,500,500,76,306,8,556,True,,,,,
PH,Yes,500,500,76,306,8,554,True,72,307,552,72,307
