Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,No,750,750,525,301,10,975,True,,,,,
BF,Yes,750,750,525,301,10,975,True,,,,,
PH,No,750,750,525,301,10,531,True,,,,,
PH,Yes,750,750,525,301,10,531,True,,,,,
BF,No,750,750,403,72,10,54404,True,,,,,
BF,Yes,750,750,403,72,10,52910,True,403,72,52908,403,72
PH,No,750,750,403,72,10,395,True,,,,,
PH,Yes,750,750,403,72,10,395,True,,,,,
BF,No,750,750,226,398,10,17477,True,,,,,
BF,Yes,750,750,226,398,10,15983,True,226,398,15981,226,398
PH,No,750,750,226,398,10,11141,True,,,,,
PH,Yes,750,750,226,398,10,11141,True,,,,,
BF,No,750,750,115,401,10,20135,True,,,,,
BF,Yes,750,750,115,401,10,18641,True,115,401,18639,115,401
PH,No,750,750,115,401,10,12983,True,,,,,
PH,Yes,750,750,115,401,10,12983,True,,,,,
BF,No,750,750,322,397,10,16928,True,,,,,
BF,Yes,750,750,322,397,10,15434,True,322,397,15432,322,397
PH,No,750,750,322,397,10,10190,True,,,,,
PH,Yes,750,750,322,397,10,10190,True,,,,,
BF,No,750,750,321,734,10,44572,True,,,,,
BF,Yes,750,750,321,734,10,43084,True,321,734,43080,321,734
PH,No,750,750,321,734,10,38046,True,,,,,
PH,Yes,750,750,321,734,10,38046,True,,,,,
BF,No,750,750,174,263,10,29076,True,,,,,
BF,Yes,750,750,174,263,10,27581,True,174,263,27579,174,263
PH,No,750,750,174,263,10,22042,True,,,,,
PH,Yes,750,750,174,263,10,22042,True,,,,,
BF,No,750,750,540,338,10,29041,True,,,,,
BF,Yes,750,750,540,338,10,27553,True,540,338,27549,540,338
PH,No,750,750,540,338,10,22077,True,,,,,
PH,Yes,750,750,540,338,10,22077,True,,,,,
BF,No,750,750,552,270,10,34303,True,,,,,
BF,Yes,750,750,552,270,10,32815,True,552,270,32811,552,270
PH,No,750,750,552,270,10,27315,True,,,,,
PH,Yes,750,750,552,270,10,27315,True,,,,,
BF,No,750,750,411,286,10,46162,True,,,,,
BF,Yes,750,750,411,286,10,44674,True,411,286,44670,411,286
PH,No,750,750,411,286,10,39456,True,,,,,
PH,Yes,750,750,411,286,10,39456,True,,,,,
