Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
BF,Yes,16,16,1,7,2,23,True,1,7,18,1,7
PH,No,16,16,1,7,2,55,True,,,,,
PH,Yes,16,16,1,7,2,23,True,1,7,18,1,7
BF,No,16,16,6,1,2,26,True,,,,,
BF,Yes,16,16,6,1,2,19,True,6,1,12,6,1
PH,No,16,16,6,1,2,12,True,,,,,
PH,Yes,16,16,6,1,2,12,True,,,,,
BF,No,16,16,12,8,2,4,True,,,,,
BF,Yes,16,16,12,8,2,4,True,,,,,
PH,No,16,16,12,8,2,4,True,,,,,
PH,Yes,16,16,12,8,2,4,True,,,,,
BF,No,16,16,5,7,2,123,True,,,,,
BF,Yes,16,16,5,7,2,21,True,5,7,18,5,7
PH,No,16,16,5,7,2,23,True,,,,,
PH,Yes,16,16,5,7,2,21,True,5,7,18,5,7
BF,No,16,16,5,5,2,91,True,,,,,
BF,Yes,16,16,5,5,2,65,True,5,5,63,5,5
PH,No,16,16,5,5,2,51,True,,,,,
PH,Yes,16,16,5,5,2,42,True,5,5,39,5,5
BF,No,16,16,2,14,2,110,True,,,,,
BF,Yes,16,16,2,14,2,57,True,1,14,54,1,14
PH,No,16,16,2,14,2,56,True,,,,,
PH,Yes,16,16,2,14,2,44,True,2,14,42,2,14
BF,No,16,16,10,4,2,75,True,,,,,
BF,Yes,16,16,10,4,2,55,True,10,4,51,10,4
PH,No,16,16,10,4,2,43,True,,,,,
PH,Yes,16,16,10,4,2,42,True,10,4,39,10,4
BF,No,16,16,10,5,2,86,True,,,,,
BF,Yes,16,16,10,5,2,59,True,10,5,57,10,5
PH,No,16,16,10,5,2,54,True,,,,,
PH,Yes,16,16,10,5,2,32,True,10,5,30,10,5
BF,No,16,16,7,1,2,25,True,,,,,
BF,Yes,16,16,7,1,2,18,True,7,1,12,7,1
PH,No,16,16,7,1,2,13,True,,,,,
PH,Yes,16,16,7,1,2,13,True,7,1,12,7,1
BF,No,16,16,7,2,2,40,True,,,,,
BF,Yes,16,16,7,2,2,31,True,7,2,27,7,2
PH,No,16,16,7,2,2,20,True,,,,,
PH,Yes,16,16,7,2,2,17,True,7,2,15,7,2
BF,No,16,16,13,10,2,35,True,,,,,
BF,Yes,16,16,13,10,2,39,True,13,10,33,13,10
PH,No,16,16,13,10,2,15,True,,,,,
PH,Yes,16,16,13,10,2,15,True,,,,,
BF,No,16,16,12,8,2,4,True,,,,,
BF,Yes,16,16,12,8,2,4,True,,,,,
PH,No,16,16,12,8,2,4,True,,,,,
PH,Yes,16,16,12,8,2,4,True,,,,,
BF,No,16,16,11,11,2,60,True,,,,,
BF,Yes,16,16,11,11,2,181,True,11,11,36,11,11
PH,No,16,16,11,11,2,26,True,,,,,
PH,Yes,16,16,11,11,2,23,True,11,12,21,11,12
BF,No,16,16,3,10,2,45,True,,,,,
BF,Yes,16,16,3,10,2,24,True,3,10,21,3,10
PH,No,16,16,3,10,2,25,True,,,,,
PH,Yes,16,16,3,10,2,24,True,3,10,21,3,10
BF,No,16,16,2,11,2,51,True,,,,,
BF,Yes,16,16,2,11,2,41,True,2,11,36,2,11
PH,No,16,16,2,11,2,31,True,,,,,
PH,Yes,16,16,2,11,2,26,True,1,12,24,1,12
BF,No,16,16,3,7,2,125,True,,,,,
BF,Yes,16,16,3,7,2,19,True,4,9,18,4,9
PH,No,16,16,3,7,2,25,True,,,,,
PH,Yes,16,16,3,7,2,20,True,3,7,15,3,7
BF,No,16,16,14,4,2,79,True,,,,,
BF,Yes,16,16,14,4,2,54,True,14,4,51,14,4
